batch,iou,dice,precision,recall,accuracy
0,0.0479,0.0914,0.9434,0.048,0.9456
1,0.0092,0.0183,1.0,0.0092,0.9947
2,0.0,0.0,0.0,0.0,0.9986
3,0.4475,0.6183,0.7593,0.5215,0.9914
4,0.3608,0.5303,0.6153,0.4659,0.8756
5,0.315,0.4791,0.3714,0.6747,0.4068
6,0.7915,0.8836,0.8809,0.8864,0.9962
7,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,0.9938
11,0.759,0.863,0.8539,0.8723,0.869
12,0.886,0.9395,0.9442,0.935,0.9477
13,0.3347,0.5016,0.9232,0.3443,0.6937
14,0.101,0.1835,0.2293,0.153,0.9732
15,0.1445,0.2525,0.3134,0.2114,0.9721
16,0.5198,0.684,0.7302,0.6433,0.9841
17,0.4071,0.5786,0.585,0.5723,0.9537
18,0.0,0.0,0.0,0.0,1.0
19,0.6901,0.8166,0.6966,0.9866,0.8064
20,0.5739,0.7293,0.8864,0.6195,0.9357
21,0.4298,0.6012,0.5172,0.7178,0.9671
22,0.0,0.0,0.0,0.0,0.9949
23,0.1871,0.3152,0.7168,0.202,0.9973
24,0.7675,0.8685,0.8293,0.9115,0.8565
25,0.1371,0.2411,0.2711,0.2171,0.9829
26,0.1118,0.2012,0.8095,0.1149,0.999
27,0.9034,0.9493,0.9597,0.939,0.9262
28,0.9072,0.9514,0.9361,0.9672,0.9963
29,0.0006,0.0013,0.0006,0.0667,0.9456
30,0.506,0.6719,0.6144,0.7414,0.9889
31,0.0162,0.0319,0.0162,0.8808,0.7178
32,0.1442,0.252,0.7566,0.1512,0.9961
33,0.7762,0.874,0.802,0.9603,0.8732
34,0.0,0.0,0.0,0.0,0.9976
35,0.313,0.4768,0.9089,0.3232,0.5349
36,0.0698,0.1305,0.0702,0.9253,0.8879
37,0.4023,0.5737,0.4159,0.9246,0.9031
38,0.0685,0.1282,0.0904,0.2203,0.9467
39,0.0,0.0,0.0,0.0,0.879
40,0.0009,0.0019,0.0017,0.0021,0.9877
41,0.443,0.614,0.5672,0.6692,0.9823
42,0.5356,0.6976,0.6877,0.7078,0.9846
43,0.8785,0.9353,0.8971,0.977,0.9835
44,0.3618,0.5313,0.4133,0.7437,0.8525
45,0.2426,0.3904,0.2688,0.713,0.9778
46,0.0,0.0,0.0,0.0,0.9497
47,0.8526,0.9204,0.873,0.9732,0.9677
48,0.4781,0.647,0.4811,0.9874,0.9886
49,0.6593,0.7947,0.8136,0.7766,0.9887
50,0.1909,0.3205,0.1909,1.0,0.1909
51,0.3093,0.4725,0.3845,0.6127,0.9176
52,0.3753,0.5458,0.4546,0.6827,0.95
53,0.0,0.0,0.0,0.0,0.9999
54,0.7,0.8235,0.7872,0.8633,0.9617
55,0.0543,0.1031,0.0908,0.1191,0.974
56,0.0,0.0,0.0,0.0,0.9947
57,0.169,0.2891,0.3565,0.2431,0.8848
58,0.0,0.0,0.0,0.0,0.9681
59,0.6447,0.784,0.8121,0.7578,0.9798
60,0.488,0.6559,0.7259,0.5982,0.8929
61,0.0215,0.042,0.0805,0.0285,0.9988
62,0.1042,0.1887,0.1393,0.2925,0.9795
63,0.8665,0.9285,0.8912,0.9691,0.9407
64,0.5719,0.7277,0.7905,0.6741,0.8652
65,0.2837,0.442,0.373,0.5425,0.8812
66,0.7635,0.8659,0.8502,0.8822,0.8405
67,0.0984,0.1792,0.1262,0.309,0.9273
68,0.2778,0.4348,0.2849,0.917,0.9766
69,0.9893,0.9946,0.9902,0.9991,0.9894
70,0.1414,0.2478,0.1443,0.8757,0.9791
71,0.3994,0.5708,0.4658,0.7368,0.9636
72,0.2932,0.4534,0.3862,0.549,0.9124
73,0.0026,0.0051,0.6111,0.0026,0.9837
74,0.5759,0.7309,0.7276,0.7341,0.9961
75,0.8881,0.9407,0.8966,0.9894,0.9617
76,0.9299,0.9637,0.968,0.9593,0.9877
77,0.4207,0.5923,0.8069,0.4678,0.9621
78,0.1532,0.2657,0.7095,0.1634,0.9956
79,0.2949,0.4555,0.8889,0.3062,0.9954
80,0.4667,0.6363,0.9121,0.4886,0.9919
81,0.1286,0.2279,0.6102,0.1401,0.9901
82,0.181,0.3065,0.7257,0.1942,0.9928
83,0.2035,0.3381,0.8998,0.2082,0.9881
84,0.7484,0.8561,0.7978,0.9236,0.9888
85,0.5256,0.6891,0.8705,0.5702,0.9958
86,0.3258,0.4915,0.3547,0.7997,0.8704
87,0.0561,0.1062,0.4053,0.0611,0.9882
88,0.2776,0.4346,0.861,0.2906,0.9906
89,0.1416,0.2481,0.7246,0.1497,0.9944
